"ID","Estadillo","CoorX","CoorY","Agente","AgenteN","Pies_con_este_dano","Total_pies","Porcentaje_dano"
"1",47,368892,4754814,100,"No se advierten daños",48,51,94.12
"2",47,368892,4754814,316,"Dominancia",3,51,5.88
"3",49,369907,4753795,100,"No se advierten daños",22,31,70.97
"4",49,369907,4753795,200,"Causas desconocidas",3,31,9.68
"5",49,369907,4753795,316,"Dominancia",5,31,16.13
"6",49,369907,4753795,421,"Fuego",1,31,3.23
"7",54,357918,4751766,100,"No se advierten daños",22,26,84.62
"8",54,357918,4751766,200,"Causas desconocidas",2,26,7.69
"9",54,357918,4751766,316,"Dominancia",2,26,7.69
"10",66,365937,4749769,100,"No se advierten daños",7,9,77.78
"11",66,365937,4749769,200,"Causas desconocidas",1,9,11.11
"12",66,365937,4749769,312,"Muerdago y afines",1,9,11.11
"13",69,349879,4748713,100,"No se advierten daños",13,18,72.22
"14",69,349879,4748713,200,"Causas desconocidas",1,18,5.56
"15",69,349879,4748713,314,"Fauna silvestre",4,18,22.22
"16",72,357892,4748794,100,"No se advierten daños",39,41,95.12
"17",72,357892,4748794,200,"Causas desconocidas",2,41,4.88
"18",90,372951,4747849,100,"No se advierten daños",31,32,96.88
"19",90,372951,4747849,316,"Dominancia",1,32,3.12
"20",94,358890,4746728,100,"No se advierten daños",57,59,96.61
"21",94,358890,4746728,316,"Dominancia",1,59,1.69
"22",94,358890,4746728,400,"Daños abióticos",1,59,1.69
"23",109,363930,4745778,100,"No se advierten daños",23,33,69.7
"24",109,363930,4745778,200,"Causas desconocidas",1,33,3.03
"25",109,363930,4745778,300,"Daños bióticos",1,33,3.03
"26",109,363930,4745778,310,"Hongos",6,33,18.18
"27",109,363930,4745778,316,"Dominancia",2,33,6.06
"28",111,348850,4744750,100,"No se advierten daños",36,39,92.31
"29",111,348850,4744750,200,"Causas desconocidas",1,39,2.56
"30",111,348850,4744750,322,"Causas antrópicas",2,39,5.13
"31",113,363902,4743810,100,"No se advierten daños",18,22,81.82
"32",113,363902,4743810,310,"Hongos",1,22,4.55
"33",113,363902,4743810,316,"Dominancia",1,22,4.55
"34",113,363902,4743810,421,"Fuego",2,22,9.09
"35",123,381873,4757828,100,"No se advierten daños",43,52,82.69
"36",123,381873,4757828,200,"Causas desconocidas",3,52,5.77
"37",123,381873,4757828,316,"Dominancia",6,52,11.54
"38",125,378901,4756814,100,"No se advierten daños",23,25,92
"39",125,378901,4756814,316,"Dominancia",2,25,8
"40",131,385851,4755778,100,"No se advierten daños",13,28,46.43
"41",131,385851,4755778,200,"Causas desconocidas",11,28,39.29
"42",131,385851,4755778,312,"Muerdago y afines",2,28,7.14
"43",131,385851,4755778,316,"Dominancia",1,28,3.57
"44",131,385851,4755778,400,"Daños abióticos",1,28,3.57
"45",133,377862,4754828,100,"No se advierten daños",42,60,70
"46",133,377862,4754828,200,"Causas desconocidas",8,60,13.33
"47",133,377862,4754828,316,"Dominancia",9,60,15
"48",133,377862,4754828,400,"Daños abióticos",1,60,1.67
"49",151,376861,4751808,100,"No se advierten daños",48,61,78.69
"50",151,376861,4751808,200,"Causas desconocidas",5,61,8.2
"51",151,376861,4751808,316,"Dominancia",8,61,13.11
"52",154,380891,4751806,100,"No se advierten daños",12,23,52.17
"53",154,380891,4751806,300,"Daños bióticos",6,23,26.09
"54",154,380891,4751806,316,"Dominancia",5,23,21.74
"55",160,377887,4750782,100,"No se advierten daños",24,27,88.89
"56",160,377887,4750782,200,"Causas desconocidas",1,27,3.7
"57",160,377887,4750782,316,"Dominancia",2,27,7.41
"58",162,396931,4750791,100,"No se advierten daños",31,43,72.09
"59",162,396931,4750791,200,"Causas desconocidas",4,43,9.3
"60",162,396931,4750791,316,"Dominancia",7,43,16.28
"61",162,396931,4750791,400,"Daños abióticos",1,43,2.33
"62",168,398912,4749759,100,"No se advierten daños",34,41,82.93
"63",168,398912,4749759,200,"Causas desconocidas",2,41,4.88
"64",168,398912,4749759,300,"Daños bióticos",3,41,7.32
"65",168,398912,4749759,316,"Dominancia",2,41,4.88
"66",172,375895,4747785,100,"No se advierten daños",21,23,91.3
"67",172,375895,4747785,200,"Causas desconocidas",1,23,4.35
"68",172,375895,4747785,316,"Dominancia",1,23,4.35
"69",173,376880,4747795,100,"No se advierten daños",4,14,28.57
"70",173,376880,4747795,200,"Causas desconocidas",10,14,71.43
"71",174,379899,4747817,100,"No se advierten daños",9,17,52.94
"72",174,379899,4747817,200,"Causas desconocidas",1,17,5.88
"73",174,379899,4747817,400,"Daños abióticos",7,17,41.18
"74",175,381914,4747807,200,"Causas desconocidas",1,2,50
"75",175,381914,4747807,400,"Daños abióticos",1,2,50
"76",181,398898,4746779,100,"No se advierten daños",11,24,45.83
"77",181,398898,4746779,200,"Causas desconocidas",3,24,12.5
"78",181,398898,4746779,300,"Daños bióticos",3,24,12.5
"79",181,398898,4746779,316,"Dominancia",4,24,16.67
"80",181,398898,4746779,400,"Daños abióticos",3,24,12.5
"81",184,377874,4745777,100,"No se advierten daños",13,19,68.42
"82",184,377874,4745777,316,"Dominancia",6,19,31.58
"83",190,381869,4743777,100,"No se advierten daños",14,36,38.89
"84",190,381869,4743777,200,"Causas desconocidas",8,36,22.22
"85",190,381869,4743777,316,"Dominancia",4,36,11.11
"86",190,381869,4743777,421,"Fuego",10,36,27.78
"87",193,345924,4743793,100,"No se advierten daños",44,57,77.19
"88",193,345924,4743793,200,"Causas desconocidas",2,57,3.51
"89",193,345924,4743793,300,"Daños bióticos",5,57,8.77
"90",193,345924,4743793,310,"Hongos",1,57,1.75
"91",193,345924,4743793,316,"Dominancia",5,57,8.77
"92",194,346920,4743814,100,"No se advierten daños",24,31,77.42
"93",194,346920,4743814,300,"Daños bióticos",1,31,3.23
"94",194,346920,4743814,310,"Hongos",6,31,19.35
"95",200,345856,4735793,100,"No se advierten daños",28,30,93.33
"96",200,345856,4735793,321,"Saca de madera",2,30,6.67
"97",203,346995,4734838,100,"No se advierten daños",36,43,83.72
"98",203,346995,4734838,200,"Causas desconocidas",2,43,4.65
"99",203,346995,4734838,322,"Causas antrópicas",5,43,11.63
"100",205,345868,4733795,100,"No se advierten daños",37,40,92.5
"101",205,345868,4733795,311,"Insectos",2,40,5
"102",205,345868,4733795,322,"Causas antrópicas",1,40,2.5
"103",211,346963,4729817,100,"No se advierten daños",2,22,9.09
"104",211,346963,4729817,311,"Insectos",20,22,90.91
"105",213,345887,4728809,311,"Insectos",18,20,90
"106",213,345887,4728809,316,"Dominancia",1,20,5
"107",213,345887,4728809,321,"Saca de madera",1,20,5
"108",215,347873,4728789,100,"No se advierten daños",2,15,13.33
"109",215,347873,4728789,310,"Hongos",1,15,6.67
"110",215,347873,4728789,311,"Insectos",12,15,80
"111",217,346936,4727784,100,"No se advierten daños",16,28,57.14
"112",217,346936,4727784,311,"Insectos",11,28,39.29
"113",217,346936,4727784,321,"Saca de madera",1,28,3.57
"114",219,344871,4726777,100,"No se advierten daños",18,27,66.67
"115",219,344871,4726777,311,"Insectos",9,27,33.33
"116",227,373885,4739823,100,"No se advierten daños",3,5,60
"117",227,373885,4739823,200,"Causas desconocidas",2,5,40
"118",229,361861,4737796,100,"No se advierten daños",13,18,72.22
"119",229,361861,4737796,200,"Causas desconocidas",5,18,27.78
"120",234,357904,4735777,100,"No se advierten daños",22,34,64.71
"121",234,357904,4735777,200,"Causas desconocidas",12,34,35.29
"122",236,359901,4735801,100,"No se advierten daños",26,31,83.87
"123",236,359901,4735801,200,"Causas desconocidas",3,31,9.68
"124",236,359901,4735801,310,"Hongos",2,31,6.45
"125",241,352865,4734813,100,"No se advierten daños",34,36,94.44
"126",241,352865,4734813,200,"Causas desconocidas",1,36,2.78
"127",241,352865,4734813,322,"Causas antrópicas",1,36,2.78
"128",242,353876,4734814,100,"No se advierten daños",28,28,100
"129",250,352892,4733753,100,"No se advierten daños",25,25,100
"130",252,359878,4733793,100,"No se advierten daños",18,24,75
"131",252,359878,4733793,200,"Causas desconocidas",5,24,20.83
"132",252,359878,4733793,316,"Dominancia",1,24,4.17
"133",255,369882,4733786,100,"No se advierten daños",30,32,93.75
"134",255,369882,4733786,321,"Saca de madera",2,32,6.25
"135",259,353892,4732804,100,"No se advierten daños",29,33,87.88
"136",259,353892,4732804,200,"Causas desconocidas",1,33,3.03
"137",259,353892,4732804,311,"Insectos",1,33,3.03
"138",259,353892,4732804,321,"Saca de madera",2,33,6.06
"139",260,369881,4732783,100,"No se advierten daños",26,32,81.25
"140",260,369881,4732783,200,"Causas desconocidas",1,32,3.12
"141",260,369881,4732783,316,"Dominancia",3,32,9.38
"142",260,369881,4732783,322,"Causas antrópicas",2,32,6.25
"143",267,354892,4730794,100,"No se advierten daños",27,28,96.43
"144",267,354892,4730794,322,"Causas antrópicas",1,28,3.57
"145",277,370905,4729765,100,"No se advierten daños",23,26,88.46
"146",277,370905,4729765,316,"Dominancia",2,26,7.69
"147",277,370905,4729765,322,"Causas antrópicas",1,26,3.85
"148",280,356902,4728782,100,"No se advierten daños",32,32,100
"149",281,357857,4728757,100,"No se advierten daños",26,30,86.67
"150",281,357857,4728757,322,"Causas antrópicas",4,30,13.33
"151",283,355888,4727755,100,"No se advierten daños",22,23,95.65
"152",283,355888,4727755,200,"Causas desconocidas",1,23,4.35
"153",290,367892,4727794,100,"No se advierten daños",9,15,60
"154",290,367892,4727794,200,"Causas desconocidas",5,15,33.33
"155",290,367892,4727794,316,"Dominancia",1,15,6.67
"156",293,356886,4726774,100,"No se advierten daños",39,43,90.7
"157",293,356886,4726774,200,"Causas desconocidas",2,43,4.65
"158",293,356886,4726774,316,"Dominancia",2,43,4.65
"159",295,358886,4726778,100,"No se advierten daños",23,23,100
"160",297,361863,4726789,100,"No se advierten daños",42,45,93.33
"161",297,361863,4726789,316,"Dominancia",2,45,4.44
"162",297,361863,4726789,322,"Causas antrópicas",1,45,2.22
"163",298,362873,4726785,100,"No se advierten daños",19,19,100
"164",301,355872,4725777,100,"No se advierten daños",33,33,100
"165",303,357880,4725784,100,"No se advierten daños",19,21,90.48
"166",303,357880,4725784,322,"Causas antrópicas",2,21,9.52
"167",308,363877,4725797,100,"No se advierten daños",13,18,72.22
"168",308,363877,4725797,200,"Causas desconocidas",5,18,27.78
"169",309,365914,4725803,100,"No se advierten daños",14,16,87.5
"170",309,365914,4725803,200,"Causas desconocidas",2,16,12.5
"171",310,369891,4725818,100,"No se advierten daños",16,22,72.73
"172",310,369891,4725818,316,"Dominancia",6,22,27.27
"173",312,371910,4725776,100,"No se advierten daños",18,18,100
"174",314,379922,4741791,200,"Causas desconocidas",4,4,100
"175",317,395892,4739813,100,"No se advierten daños",38,38,100
"176",323,392897,4737784,100,"No se advierten daños",20,29,68.97
"177",323,392897,4737784,310,"Hongos",1,29,3.45
"178",323,392897,4737784,311,"Insectos",7,29,24.14
"179",323,392897,4737784,316,"Dominancia",1,29,3.45
"180",324,393919,4737785,100,"No se advierten daños",30,33,90.91
"181",324,393919,4737785,310,"Hongos",1,33,3.03
"182",324,393919,4737785,321,"Saca de madera",1,33,3.03
"183",324,393919,4737785,322,"Causas antrópicas",1,33,3.03
"184",328,391892,4735793,100,"No se advierten daños",23,39,58.97
"185",328,391892,4735793,200,"Causas desconocidas",9,39,23.08
"186",328,391892,4735793,312,"Muerdago y afines",1,39,2.56
"187",328,391892,4735793,316,"Dominancia",6,39,15.38
"188",329,393907,4735792,100,"No se advierten daños",1,7,14.29
"189",329,393907,4735792,300,"Daños bióticos",4,7,57.14
"190",329,393907,4735792,316,"Dominancia",1,7,14.29
"191",329,393907,4735792,400,"Daños abióticos",1,7,14.29
"192",331,377904,4734780,100,"No se advierten daños",36,41,87.8
"193",331,377904,4734780,316,"Dominancia",4,41,9.76
"194",331,377904,4734780,411,"Viento",1,41,2.44
"195",338,385903,4733807,300,"Daños bióticos",23,24,95.83
"196",338,385903,4733807,311,"Insectos",1,24,4.17
"197",345,399933,4732794,100,"No se advierten daños",49,51,96.08
"198",345,399933,4732794,200,"Causas desconocidas",1,51,1.96
"199",345,399933,4732794,316,"Dominancia",1,51,1.96
"200",352,395886,4729801,100,"No se advierten daños",17,17,100
"201",354,397911,4729768,100,"No se advierten daños",37,42,88.1
"202",354,397911,4729768,200,"Causas desconocidas",3,42,7.14
"203",354,397911,4729768,300,"Daños bióticos",1,42,2.38
"204",354,397911,4729768,316,"Dominancia",1,42,2.38
"205",363,389904,4726785,100,"No se advierten daños",1,51,1.96
"206",363,389904,4726785,311,"Insectos",48,51,94.12
"207",363,389904,4726785,316,"Dominancia",2,51,3.92
"208",365,391912,4726792,100,"No se advierten daños",22,27,81.48
"209",365,391912,4726792,311,"Insectos",2,27,7.41
"210",365,391912,4726792,316,"Dominancia",3,27,11.11
"211",368,376882,4725806,100,"No se advierten daños",30,32,93.75
"212",368,376882,4725806,316,"Dominancia",1,32,3.12
"213",368,376882,4725806,321,"Saca de madera",1,32,3.12
"214",371,409896,4741812,100,"No se advierten daños",30,45,66.67
"215",371,409896,4741812,200,"Causas desconocidas",1,45,2.22
"216",371,409896,4741812,316,"Dominancia",11,45,24.44
"217",371,409896,4741812,321,"Saca de madera",2,45,4.44
"218",371,409896,4741812,400,"Daños abióticos",1,45,2.22
"219",382,345937,4724840,100,"No se advierten daños",18,37,48.65
"220",382,345937,4724840,200,"Causas desconocidas",13,37,35.14
"221",382,345937,4724840,310,"Hongos",1,37,2.7
"222",382,345937,4724840,311,"Insectos",3,37,8.11
"223",382,345937,4724840,316,"Dominancia",2,37,5.41
"224",384,345955,4723788,100,"No se advierten daños",11,23,47.83
"225",384,345955,4723788,311,"Insectos",12,23,52.17
"226",386,345918,4722804,100,"No se advierten daños",19,26,73.08
"227",386,345918,4722804,311,"Insectos",7,26,26.92
"228",398,347903,4719775,100,"No se advierten daños",26,30,86.67
"229",398,347903,4719775,311,"Insectos",4,30,13.33
"230",402,344928,4717802,100,"No se advierten daños",12,35,34.29
"231",402,344928,4717802,311,"Insectos",23,35,65.71
"232",404,344906,4716775,100,"No se advierten daños",11,31,35.48
"233",404,344906,4716775,311,"Insectos",19,31,61.29
"234",404,344906,4716775,316,"Dominancia",1,31,3.23
"235",407,344905,4714759,100,"No se advierten daños",30,30,100
"236",411,345899,4710808,311,"Insectos",9,9,100
"237",412,346899,4710829,100,"No se advierten daños",12,32,37.5
"238",412,346899,4710829,311,"Insectos",20,32,62.5
"239",418,356864,4724825,100,"No se advierten daños",29,29,100
"240",424,371876,4724791,100,"No se advierten daños",21,22,95.45
"241",424,371876,4724791,316,"Dominancia",1,22,4.55
"242",431,370880,4723808,100,"No se advierten daños",31,33,93.94
"243",431,370880,4723808,300,"Daños bióticos",1,33,3.03
"244",431,370880,4723808,311,"Insectos",1,33,3.03
"245",436,355869,4722843,100,"No se advierten daños",30,32,93.75
"246",436,355869,4722843,311,"Insectos",2,32,6.25
"247",439,364896,4722817,100,"No se advierten daños",25,27,92.59
"248",439,364896,4722817,200,"Causas desconocidas",1,27,3.7
"249",439,364896,4722817,316,"Dominancia",1,27,3.7
"250",452,360862,4720787,100,"No se advierten daños",24,24,100
"251",453,366901,4720793,100,"No se advierten daños",26,27,96.3
"252",453,366901,4720793,316,"Dominancia",1,27,3.7
"253",454,370877,4720814,100,"No se advierten daños",2,13,15.38
"254",454,370877,4720814,300,"Daños bióticos",11,13,84.62
"255",458,362936,4719770,100,"No se advierten daños",2,24,8.33
"256",458,362936,4719770,200,"Causas desconocidas",22,24,91.67
"257",461,371894,4719803,100,"No se advierten daños",15,18,83.33
"258",461,371894,4719803,311,"Insectos",2,18,11.11
"259",461,371894,4719803,316,"Dominancia",1,18,5.56
"260",465,353868,4718832,100,"No se advierten daños",22,28,78.57
"261",465,353868,4718832,200,"Causas desconocidas",3,28,10.71
"262",465,353868,4718832,316,"Dominancia",2,28,7.14
"263",465,353868,4718832,400,"Daños abióticos",1,28,3.57
"264",472,354883,4717798,100,"No se advierten daños",22,31,70.97
"265",472,354883,4717798,200,"Causas desconocidas",1,31,3.23
"266",472,354883,4717798,310,"Hongos",1,31,3.23
"267",472,354883,4717798,311,"Insectos",4,31,12.9
"268",472,354883,4717798,316,"Dominancia",3,31,9.68
"269",475,354882,4716797,100,"No se advierten daños",21,22,95.45
"270",475,354882,4716797,322,"Causas antrópicas",1,22,4.55
"271",478,370892,4716793,100,"No se advierten daños",18,18,100
"272",479,371880,4716791,100,"No se advierten daños",16,21,76.19
"273",479,371880,4716791,200,"Causas desconocidas",1,21,4.76
"274",479,371880,4716791,300,"Daños bióticos",1,21,4.76
"275",479,371880,4716791,311,"Insectos",2,21,9.52
"276",479,371880,4716791,321,"Saca de madera",1,21,4.76
"277",486,371893,4714777,100,"No se advierten daños",27,37,72.97
"278",486,371893,4714777,311,"Insectos",2,37,5.41
"279",486,371893,4714777,316,"Dominancia",1,37,2.7
"280",486,371893,4714777,322,"Causas antrópicas",7,37,18.92
"281",490,361938,4713829,100,"No se advierten daños",10,26,38.46
"282",490,361938,4713829,200,"Causas desconocidas",14,26,53.85
"283",490,361938,4713829,316,"Dominancia",2,26,7.69
"284",495,357928,4712810,100,"No se advierten daños",22,23,95.65
"285",495,357928,4712810,200,"Causas desconocidas",1,23,4.35
"286",499,365895,4711778,100,"No se advierten daños",18,22,81.82
"287",499,365895,4711778,310,"Hongos",1,22,4.55
"288",499,365895,4711778,311,"Insectos",3,22,13.64
"289",504,347892,4709783,100,"No se advierten daños",12,33,36.36
"290",504,347892,4709783,311,"Insectos",21,33,63.64
"291",508,368879,4708799,100,"No se advierten daños",17,30,56.67
"292",508,368879,4708799,200,"Causas desconocidas",1,30,3.33
"293",508,368879,4708799,310,"Hongos",1,30,3.33
"294",508,368879,4708799,311,"Insectos",9,30,30
"295",508,368879,4708799,316,"Dominancia",2,30,6.67
"296",514,368910,4707768,100,"No se advierten daños",20,30,66.67
"297",514,368910,4707768,311,"Insectos",6,30,20
"298",514,368910,4707768,316,"Dominancia",3,30,10
"299",514,368910,4707768,321,"Saca de madera",1,30,3.33
"300",527,381904,4719769,100,"No se advierten daños",27,29,93.1
"301",527,381904,4719769,321,"Saca de madera",2,29,6.9
"302",528,375897,4717807,100,"No se advierten daños",5,5,100
"303",530,375915,4716812,100,"No se advierten daños",15,38,39.47
"304",530,375915,4716812,200,"Causas desconocidas",2,38,5.26
"305",530,375915,4716812,311,"Insectos",20,38,52.63
"306",530,375915,4716812,322,"Causas antrópicas",1,38,2.63
"307",532,376914,4715806,100,"No se advierten daños",3,15,20
"308",532,376914,4715806,200,"Causas desconocidas",3,15,20
"309",532,376914,4715806,310,"Hongos",6,15,40
"310",532,376914,4715806,311,"Insectos",3,15,20
"311",534,375886,4714758,100,"No se advierten daños",22,30,73.33
"312",534,375886,4714758,311,"Insectos",7,30,23.33
"313",534,375886,4714758,316,"Dominancia",1,30,3.33
"314",536,381923,4714793,100,"No se advierten daños",19,26,73.08
"315",536,381923,4714793,310,"Hongos",1,26,3.85
"316",536,381923,4714793,311,"Insectos",4,26,15.38
"317",536,381923,4714793,316,"Dominancia",2,26,7.69
"318",537,382949,4714815,100,"No se advierten daños",44,46,95.65
"319",537,382949,4714815,316,"Dominancia",2,46,4.35
"320",539,375907,4713789,100,"No se advierten daños",25,34,73.53
"321",539,375907,4713789,310,"Hongos",3,34,8.82
"322",539,375907,4713789,311,"Insectos",5,34,14.71
"323",539,375907,4713789,411,"Viento",1,34,2.94
"324",542,380917,4713787,100,"No se advierten daños",14,21,66.67
"325",542,380917,4713787,310,"Hongos",4,21,19.05
"326",542,380917,4713787,311,"Insectos",3,21,14.29
"327",549,383915,4712820,100,"No se advierten daños",22,31,70.97
"328",549,383915,4712820,200,"Causas desconocidas",3,31,9.68
"329",549,383915,4712820,300,"Daños bióticos",2,31,6.45
"330",549,383915,4712820,311,"Insectos",4,31,12.9
"331",553,376886,4710778,100,"No se advierten daños",6,26,23.08
"332",553,376886,4710778,310,"Hongos",3,26,11.54
"333",553,376886,4710778,311,"Insectos",17,26,65.38
"334",555,376889,4709803,100,"No se advierten daños",7,13,53.85
"335",555,376889,4709803,200,"Causas desconocidas",1,13,7.69
"336",555,376889,4709803,311,"Insectos",5,13,38.46
"337",557,375873,4708781,311,"Insectos",29,30,96.67
"338",557,375873,4708781,316,"Dominancia",1,30,3.33
"339",576,345836,4697773,100,"No se advierten daños",29,30,96.67
"340",576,345836,4697773,316,"Dominancia",1,30,3.33
"341",578,346837,4696847,100,"No se advierten daños",2,19,10.53
"342",578,346837,4696847,200,"Causas desconocidas",1,19,5.26
"343",578,346837,4696847,311,"Insectos",16,19,84.21
"344",581,347913,4706774,100,"No se advierten daños",5,38,13.16
"345",581,347913,4706774,200,"Causas desconocidas",4,38,10.53
"346",581,347913,4706774,311,"Insectos",28,38,73.68
"347",581,347913,4706774,316,"Dominancia",1,38,2.63
"348",599,347828,4694857,100,"No se advierten daños",29,35,82.86
"349",599,347828,4694857,200,"Causas desconocidas",1,35,2.86
"350",599,347828,4694857,311,"Insectos",4,35,11.43
"351",599,347828,4694857,316,"Dominancia",1,35,2.86
"352",602,347874,4692812,100,"No se advierten daños",4,27,14.81
"353",602,347874,4692812,200,"Causas desconocidas",3,27,11.11
"354",602,347874,4692812,311,"Insectos",20,27,74.07
"355",623,383887,4701819,100,"No se advierten daños",7,7,100
"356",627,383918,4700770,100,"No se advierten daños",14,16,87.5
"357",627,383918,4700770,200,"Causas desconocidas",2,16,12.5
