"Label","Abbreviation", "Units", "DescriptionEN","DescriptionES"
"Stand density", "N", "nº trees/ha", "", ""
"Basal area", "G", "m2/ha", "", ""
"Volume over bark", "V", "m3/ha", "", ""
"Tree canopy cover in the plot", "TCC", "%", "", ""
"Trees measured", "", "nº trees/plot", "", ""
"Dominant height", "Ho", "m", "", ""
"Mean height", "Hm", "m", "", ""
"Quadratic mean diameter", "Dg", "m", "", ""
"Mean diameter", "Dm", "m", "", ""
"Standing dead trees", "", "nº trees/plot", "", ""
"Species composition", "", "", "", ""
"Stand structure", "", "", "", ""
"Shannon index", "S", "", "", ""
"Slenderness index", "", "", "", ""
"Stand Density Index Relative", "SDIR", "%", "", ""
"Hart index", "", "", "", ""
"Development stage", "", "", "", ""
"Origin", "", "", "", ""
"Tree species canopy cover", "CC", "%", "", ""
"Regeneration density", "", "nº of stems", "", ""
"Shrub species canopy cover", "CC", "%", "", ""
"Shrub species mean height", "Ho", "m", "", ""
"", "", "", "", ""
"", "", "", "", ""
"", "", "", "", ""
"", "", "", "", ""
"", "", "", "", ""