"Estadillo","SpeciesID","SpeciesName","NtreesNFI2","NtreesNFI3","NtreesNFI4","AgeNFI3","AgeNFI4","SPdevelopmentNFI2","SPdevelopmentNFI2name","SPdevelopmentNFI3","SPdevelopmentNFI3name","SPdevelopmentNFI4","SPdevelopmentNFI4name","Origin1NFI3","Origin1NFI3_EN","Origin2NFI3","Origin2NFI3_EN","Origin1NFI4","Origin1NFI4_EN","Origin2NFI4","Origin2NFI4_EN","SPcoverNFI2","SPcoverNFI3","SPcoverNFI4","RegenerNFI2","RegenerNFI2_EN","RegenerNFI3","RegenerNFI3_EN","RegenerNFI4","RegenerNFI4_EN"
454,"43","Quercus pyrenaica",12,12,13,0,0,"4","Old growth",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,100,3,">15 stems",2,"5–15 stems",2,"5–15 stems"
458,"43","Quercus pyrenaica",2,9,24,0,0,"2","Thicket",2,"Thicket",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,90,90,3,">15 stems",3,">15 stems",3,">15 stems"
461,"21","Pinus sylvestris",11,12,17,60,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",0,70,70,0,NA,NA,NA,NA,NA
461,"21","Pinus sylvestris",11,12,17,60,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",90,70,70,0,NA,NA,NA,NA,NA
461,"43","Quercus pyrenaica",NA,NA,1,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,30,3,">15 stems",3,">15 stems",2,"5–15 stems"
465,"43","Quercus pyrenaica",6,4,7,0,0,NA,NA,4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,40,40,3,">15 stems",2,"5–15 stems",3,">15 stems"
47,"21","Pinus sylvestris",13,33,51,30,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,100,100,1,"1–4 stems",NA,NA,NA,NA
47,"21","Pinus sylvestris",13,33,51,30,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,100,100,1,"1–4 stems",NA,NA,NA,NA
472,"25","Pinus nigra",16,12,14,40,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",50,40,40,1,"1–4 stems",NA,NA,NA,NA
472,"43","Quercus pyrenaica",1,2,9,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",3,">15 stems",3,">15 stems"
475,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","3","Coppice (stump or root sprout)",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,2,"5–15 stems",NA,NA,NA,NA
479,"21","Pinus sylvestris",33,21,18,0,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",90,70,70,1,"1–4 stems",NA,NA,NA,NA
479,"21","Pinus sylvestris",33,21,18,0,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",0,70,70,1,"1–4 stems",NA,NA,NA,NA
479,"43","Quercus pyrenaica",1,1,3,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,30,3,">15 stems",3,">15 stems",3,">15 stems"
486,"25","Pinus nigra",28,28,30,0,0,"4","Old growth",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",60,60,80,NA,NA,NA,NA,2,"5–15 stems"
49,"42","Quercus petraea",22,26,31,0,0,"3","Polewood",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,80,80,3,">15 stems",1,"1–4 stems",1,"1–4 stems"
49,"65","Ilex aquifolium",NA,NA,NA,0,40,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,3,">15 stems",NA,NA,NA,NA
490,"215","Crataegus monogyna",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,NA,NA,2,"5–15 stems",2,"5–15 stems"
490,"43","Quercus pyrenaica",6,16,26,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",80,80,80,3,">15 stems",3,">15 stems",3,">15 stems"
490,"43","Quercus pyrenaica",6,16,26,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,80,80,3,">15 stems",3,">15 stems",3,">15 stems"
495,"21","Pinus sylvestris",12,12,12,45,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",40,40,40,NA,NA,NA,NA,1,"1–4 stems"
495,"21","Pinus sylvestris",12,12,12,45,0,"4","Old growth",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",40,40,40,NA,NA,NA,NA,1,"1–4 stems"
495,"43","Quercus pyrenaica",1,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","3","Coppice (stump or root sprout)",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",3,">15 stems",3,">15 stems"
499,"21","Pinus sylvestris",4,25,17,0,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",50,60,60,0,NA,NA,NA,NA,NA
499,"25","Pinus nigra",NA,8,5,0,0,NA,NA,3,"Polewood",3,"Polewood",2,"Artificial","I",NA,2,"Artificial",2,"Plantation",NA,30,30,1,"1–4 stems",NA,NA,NA,NA
499,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,3,"Polewood",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,3,">15 stems",1,"1–4 stems",2,"5–15 stems"
508,"25","Pinus nigra",2,7,14,0,0,"2","Thicket",3,"Polewood",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",3,"Naturalized",5,"Mixed: seed and plantation",50,40,40,0,NA,NA,NA,1,"1–4 stems"
508,"43","Quercus pyrenaica",1,3,14,0,0,NA,NA,2,"Thicket",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,40,50,3,">15 stems",2,"5–15 stems",3,">15 stems"
514,"25","Pinus nigra",10,35,29,0,0,"2","Thicket",3,"Polewood",3,"Polewood",2,"Artificial","C",NA,2,"Artificial",2,"Plantation",90,70,80,0,NA,NA,NA,NA,NA
514,"43","Quercus pyrenaica",NA,NA,1,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",2,"5–15 stems",3,">15 stems"
527,"26","Pinus pinaster",36,29,23,0,0,"2","Thicket",4,"Old growth",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",5,"Mixed: seed and plantation",0,90,90,2,"5–15 stems",NA,NA,1,"1–4 stems"
527,"26","Pinus pinaster",36,29,23,0,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","I",NA,2,"Artificial",5,"Mixed: seed and plantation",0,90,90,2,"5–15 stems",NA,NA,1,"1–4 stems"
530,"25","Pinus nigra",14,40,35,40,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",80,60,60,0,NA,NA,NA,NA,NA
530,"43","Quercus pyrenaica",NA,1,3,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,40,40,3,">15 stems",3,">15 stems",3,">15 stems"
532,"43","Quercus pyrenaica",3,5,7,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",3,">15 stems",3,">15 stems"
534,"43","Quercus pyrenaica",NA,2,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",3,">15 stems",3,">15 stems"
536,"43","Quercus pyrenaica",1,1,1,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,30,3,">15 stems",3,">15 stems",2,"5–15 stems"
537,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",3,">15 stems",3,">15 stems"
539,"25","Pinus nigra",9,17,17,40,0,NA,NA,3,"Polewood",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",3,"Naturalized",5,"Mixed: seed and plantation",NA,50,40,0,NA,NA,NA,NA,NA
539,"43","Quercus pyrenaica",NA,2,8,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,20,3,">15 stems",3,">15 stems",3,">15 stems"
54,"42","Quercus petraea",2,10,23,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,40,80,3,">15 stems",3,">15 stems",3,">15 stems"
54,"43","Quercus pyrenaica",3,3,NA,0,NA,"3","Polewood",3,"Polewood",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,40,40,NA,3,">15 stems",NA,NA,NA,NA
542,"26","Pinus pinaster",8,7,6,0,0,"2","Thicket",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",0,20,20,1,"1–4 stems",NA,NA,NA,NA
542,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",2,"5–15 stems",3,">15 stems"
549,"21","Pinus sylvestris",31,32,23,0,0,"3","Polewood",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",3,"Naturalized",5,"Mixed: seed and plantation",80,60,60,NA,NA,NA,NA,1,"1–4 stems"
549,"25","Pinus nigra",2,2,2,0,0,NA,NA,4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",3,"Naturalized",5,"Mixed: seed and plantation",NA,20,10,NA,NA,NA,NA,1,"1–4 stems"
549,"43","Quercus pyrenaica",6,6,6,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",2,"5–15 stems",3,">15 stems"
553,"25","Pinus nigra",15,16,18,0,0,"4","Old growth",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",3,"Naturalized",5,"Mixed: seed and plantation",50,50,50,1,"1–4 stems",NA,NA,NA,NA
553,"26","Pinus pinaster",7,6,3,0,0,"1","Young growth",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",3,"Naturalized",5,"Mixed: seed and plantation",0,30,30,0,NA,NA,NA,NA,NA
553,"43","Quercus pyrenaica",3,3,4,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,10,10,2,"5–15 stems",NA,NA,1,"1–4 stems"
555,"25","Pinus nigra",NA,1,5,20,0,NA,NA,3,"Polewood",3,"Polewood",3,"Naturalized","5","Mixed: seed and plantation",3,"Naturalized",5,"Mixed: seed and plantation",NA,30,40,0,NA,NA,NA,1,"1–4 stems"
555,"43","Quercus pyrenaica",NA,NA,6,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","3","Coppice (stump or root sprout)",1,"Natural",4,"Mixed: seed and sprout",NA,50,50,3,">15 stems",3,">15 stems",3,">15 stems"
557,"25","Pinus nigra",17,31,30,0,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",80,70,70,NA,NA,NA,NA,1,"1–4 stems"
557,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,3,"Polewood",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,1,"1–4 stems",3,">15 stems",2,"5–15 stems"
576,"25","Pinus nigra",7,35,30,0,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",80,70,70,0,NA,NA,NA,NA,NA
576,"25","Pinus nigra",7,35,30,0,0,"0","0",3,"Polewood",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",70,70,70,0,NA,NA,NA,NA,NA
576,"43","Quercus pyrenaica",NA,NA,NA,0,0,NA,NA,2,"Thicket",2,"Thicket",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,30,3,">15 stems",3,">15 stems",3,">15 stems"
578,"25","Pinus nigra",3,14,18,25,0,"1","Young growth",4,"Old growth",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",0,90,90,0,NA,NA,NA,NA,NA
578,"25","Pinus nigra",3,14,18,25,0,"2","Thicket",4,"Old growth",4,"Old growth",2,"Artificial","B",NA,2,"Artificial",2,"Plantation",90,90,90,0,NA,NA,NA,NA,NA
581,"21","Pinus sylvestris",9,25,16,25,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",40,40,30,0,NA,NA,NA,NA,NA
599,"25","Pinus nigra",10,18,22,25,0,"2","Thicket",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",70,60,60,0,NA,NA,NA,NA,NA
599,"25","Pinus nigra",10,18,22,25,0,"3","Polewood",4,"Old growth",4,"Old growth",2,"Artificial","J",NA,2,"Artificial",2,"Plantation",90,60,60,0,NA,NA,NA,NA,NA
599,"43","Quercus pyrenaica",NA,NA,1,0,0,NA,NA,3,"Polewood",2,"Thicket",1,"Natural","3","Coppice (stump or root sprout)",1,"Natural",4,"Mixed: seed and sprout",NA,20,20,3,">15 stems",3,">15 stems",NA,NA
623,"26","Pinus pinaster",22,10,7,0,0,"4","Old growth",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",2,"Artificial",2,"Plantation",0,100,100,NA,NA,NA,NA,3,">15 stems"
623,"26","Pinus pinaster",22,10,7,0,0,"4","Old growth",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",2,"Artificial",2,"Plantation",0,100,100,NA,NA,NA,NA,3,">15 stems"
627,"26","Pinus pinaster",54,23,16,0,0,"4","Old growth",4,"Old growth",1,"Young growth",3,"Naturalized","5","Mixed: seed and plantation",1,"Natural",1,"Seed",0,100,50,2,"5–15 stems",1,"1–4 stems",3,">15 stems"
627,"26","Pinus pinaster",54,23,16,0,0,"4","Old growth",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",2,"Artificial",2,"Plantation",0,100,50,2,"5–15 stems",1,"1–4 stems",3,">15 stems"
627,"26","Pinus pinaster",54,23,16,0,0,"4","Old growth",4,"Old growth",1,"Young growth",3,"Naturalized","5","Mixed: seed and plantation",1,"Natural",1,"Seed",0,100,50,2,"5–15 stems",1,"1–4 stems",3,">15 stems"
627,"26","Pinus pinaster",54,23,16,0,0,"4","Old growth",4,"Old growth",4,"Old growth",3,"Naturalized","5","Mixed: seed and plantation",2,"Artificial",2,"Plantation",0,100,50,2,"5–15 stems",1,"1–4 stems",3,">15 stems"
66,"71","Fagus sylvatica",2,4,4,0,0,"3","Polewood",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",0,70,70,1,"1–4 stems",NA,NA,1,"1–4 stems"
66,"71","Fagus sylvatica",2,4,4,0,0,"3","Polewood",4,"Old growth",4,"Old growth",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",30,70,70,1,"1–4 stems",NA,NA,1,"1–4 stems"
69,"21","Pinus sylvestris",2,7,11,10,0,"1","Young growth",2,"Thicket",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,70,70,1,"1–4 stems",NA,NA,NA,NA
69,"21","Pinus sylvestris",2,7,11,10,0,"2","Thicket",2,"Thicket",3,"Polewood",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",60,70,70,1,"1–4 stems",NA,NA,NA,NA
69,"43","Quercus pyrenaica",NA,NA,NA,0,NA,NA,NA,2,"Thicket",NA,NA,1,"Natural","4","Mixed: seed and sprout",NA,NA,NA,NA,NA,20,NA,1,"1–4 stems",NA,NA,NA,NA
72,"21","Pinus sylvestris",24,32,41,35,0,"1","Young growth",3,"Polewood",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,100,100,1,"1–4 stems",NA,NA,NA,NA
72,"21","Pinus sylvestris",24,32,41,35,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,100,100,1,"1–4 stems",NA,NA,NA,NA
90,"42","Quercus petraea",NA,NA,14,NA,0,NA,NA,NA,NA,3,"Polewood",NA,NA,NA,NA,1,"Natural",4,"Mixed: seed and sprout",NA,NA,50,NA,NA,NA,NA,2,"5–15 stems"
90,"43","Quercus pyrenaica",7,14,9,0,0,"0","0",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",70,60,10,3,">15 stems",3,">15 stems",3,">15 stems"
90,"43","Quercus pyrenaica",7,14,9,0,0,"3","Polewood",3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",70,60,10,3,">15 stems",3,">15 stems",3,">15 stems"
90,"71","Fagus sylvatica",4,7,8,0,0,NA,NA,3,"Polewood",3,"Polewood",1,"Natural","4","Mixed: seed and sprout",1,"Natural",4,"Mixed: seed and sprout",NA,30,20,3,">15 stems",3,">15 stems",2,"5–15 stems"
94,"21","Pinus sylvestris",14,46,59,30,0,"3","Polewood",3,"Polewood",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,100,100,0,NA,NA,NA,NA,NA
94,"21","Pinus sylvestris",14,46,59,30,0,"1","Young growth",3,"Polewood",4,"Old growth",2,"Artificial","A",NA,2,"Artificial",2,"Plantation",0,100,100,0,NA,NA,NA,NA,NA
