"Estadillo","lng","lat","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","IDCounty","County","Municipality","IDMunicipality","ProtectedArea","ProtectionStatus","PublicForest","Ownership","BoundMarkers","LegaDemarcated"
306,-4.685364,42.672197,"A","3E","A","1",3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Santa María de la Vega","E.L.M. de Cornoncillo","No","No"
311,-4.575573,42.67376,"A","4",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Valdemoro","Ayto. de La Puebla de Valdavia","Sí","Sí"
313,-4.518085,42.818619,"A","4C","A","1",3406,"Cervera","Dehesa de Montejo",34067,"","","Mata Alta","E.L.M. de Dehesa de Montejo","No","No"
319,-4.321844,42.794038,"A","1",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
320,-4.297395,42.794317,"A","1",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
321,-4.517205,42.78261,"A","1",NA,NA,3406,"Cervera","Dehesa de Montejo",34067,"","","Las Rozas","E.L.M. de Colmenares de Ojeda","No","No"
325,-4.516765,42.764606,"A","4C","A","1",3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Valparaíso","E.L.M. de Amayuelas de Ojeda","No","No"
326,-4.49233,42.764927,"A","3E",NA,NA,3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Allende","E.L.M. de Montoto de Ojeda","No","No"
327,-4.467894,42.765243,"A","1","A","1",3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Las Matas","Ayto. de Olmos de Ojeda","No","No"
330,-4.50433,42.755765,"A","1",NA,NA,3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Moyuelo","E.L.M. de Vega de Bur","No","No"
332,-4.479897,42.756083,"A","1",NA,NA,3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Moyuelo","E.L.M. de Vega de Bur","No","No"
333,-4.382164,42.757305,"A","4C","A","1",3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
335,-4.516326,42.746601,"A","1",NA,NA,3404,"Boedo-Ojeda","Payo de Ojeda",34124,"","","","","",""
336,-4.491898,42.746922,"A","4",NA,NA,3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Moyuelo","E.L.M. de Vega de Bur","No","No"
339,-4.381964,42.748302,"A","1",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
341,-4.247591,42.749845,"A","1",NA,NA,3407,"Aguilar","Pomar de Valdivia",34135,"Las Tuerces","Paisaje Protegido","Las Tuerces, Campo del Pozo, Cuesta Aedo y La Loma","E.L.M. de Villaescusa de las Torres","No","No"
342,-4.406191,42.739002,"A","4C","A","1",3407,"Aguilar","Aguilar de Campoo",34004,"","","Valdemensur","Ayto. de Aguilar de Campoo","No","No"
343,-4.393978,42.739151,"A","4",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","Valdemensur","Ayto. de Aguilar de Campoo","No","No"
344,-4.296268,42.740299,"A","4","A","1",3407,"Aguilar","Aguilar de Campoo",34004,"","","Cabadilla","E.L.M. de Olleros de Pisuerga","No","No"
346,-4.210767,42.741235,"A","4",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"Las Tuerces","Paisaje Protegido","Castillo de Gama","Ayto. de Aguilar de Campoo","No","No"
351,-4.405581,42.711994,NA,NA,NA,NA,3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","","","",""
353,-4.259079,42.713698,"A","1",NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
355,-4.405378,42.702991,"A","4C","A","1",3404,"Boedo-Ojeda","Olmos de Ojeda",34114,"","","Valdelamora","E.L.M. de Moarves de Ojeda","No","No"
356,-4.28330905,42.704489,NA,NA,"A","4",3404,"Boedo-Ojeda","Alar del Rey",34005,"","","Allende","E.L.M. de Becerril del Carpio","No","No"
357,-4.271104,42.70456,"A","1",NA,NA,3404,"Boedo-Ojeda","Alar del Rey",34005,"","","Allende","E.L.M. de Becerril del Carpio","No","No"
358,-4.246689,42.704828,NA,NA,NA,NA,3407,"Aguilar","Aguilar de Campoo",34004,"","","","","",""
359,-4.319741,42.695004,"A","1","A","4",3404,"Boedo-Ojeda","Alar del Rey",34005,"","","La Hoya","E.L.M. de Becerril del Carpio","No","No"
361,-4.50259,42.683746,"A","1",NA,NA,3404,"Boedo-Ojeda","Micieces de Ojeda",34107,"","","Los Montecillos","Ayto. de Micieces de Ojeda","Sí","Sí"
362,-4.35616,42.685574,NA,NA,NA,NA,3404,"Boedo-Ojeda","Prádanos de Ojeda",34139,"","","El Carrascal","Ayto. de Prádanos de Ojeda","No","No"
364,-4.331754,42.68586,"A","4","A","1",3404,"Boedo-Ojeda","Prádanos de Ojeda",34139,"","","El Carrascal","Ayto. de Prádanos de Ojeda","No","No"
366,-4.295144,42.68628,"A","4",NA,NA,3404,"Boedo-Ojeda","Alar del Rey",34005,"","","La Cabrera","E.L.M. de Nogales de Pisuerga","No","No"
369,-4.294957,42.677277,"A","4","A","1",3404,"Boedo-Ojeda","Alar del Rey",34005,"","","Valdelagos","E.L.M. de Nogales de Pisuerga","No","No"
381,-4.892451,42.659957,"A","1",NA,NA,3405,"Guardo","Fresno del Río",34073,"","","El Soto","Ayto. de Fresno del Río","Sí","Sí"
383,-4.892178,42.650956,"A","4",NA,NA,3403,"Saldaña-Valdavia","Pino del Río",34129,"","","Páramo del Oeste","E.L.M. de Pino del Rio","No","No"
385,-4.891905,42.641955,"A","1","A","4",3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Modorro","E.L.M. de Acera de la Vega","No","No"
387,-4.867522,42.642356,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Modorro","E.L.M. de Acera de la Vega","No","No"
388,-4.891632,42.632955,"A","1","A","4",3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Modorro","E.L.M. de Acera de la Vega","No","No"
389,-4.879442,42.633156,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Modorro","E.L.M. de Acera de la Vega","No","No"
391,-4.855063,42.633553,NA,NA,"A","1",3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Modorro","E.L.M. de Acera de la Vega","No","No"
392,-4.89115871,42.6236709,NA,NA,"A","1",3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Modorro","E.L.M. de Acera de la Vega","No","No"
393,-4.879171,42.624155,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Modorro","E.L.M. de Acera de la Vega","No","No"
394,-4.866984,42.624354,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Modorro","E.L.M. de Acera de la Vega","No","No"
395,-4.891087,42.614953,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","","","",""
397,-4.866715,42.615353,NA,NA,NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","El Corco","C.A. de Castiilla y León","Sí","Sí"
399,-4.890814,42.605953,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","","","",""
400,-4.87863,42.606153,"A","4","A","1",3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","","","",""
401,-4.854261,42.60655,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","El Corco","C.A. de Castiilla y León","Sí","Sí"
406,-4.889998,42.578951,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Páramo, Raigada y Sotillo","E.L.M. de San Andres de la Regla","No","No"
409,-4.876739,42.543148,"A","4","A","1",3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","La Cerra","Ayto. de Villota del Páramo","Sí","Sí"
410,-4.864567,42.543346,"A","4","A","1",3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","La Cerra","Ayto. de Villota del Páramo","Sí","Sí"
413,-4.888369,42.524946,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Cerra de San Andrés","E.L.M. de San Andres de la Regla","No","No"
414,-4.864031,42.525344,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","La Cerra","Ayto. de Villota del Páramo","Sí","Sí"
415,-4.888098,42.515945,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","Cerra de San Andrés","E.L.M. de San Andres de la Regla","No","No"
417,-4.863496,42.507342,"A","4","A","1",3403,"Saldaña-Valdavia","Santervás de la Vega",34169,"","","Cerrillo","C.A. de Castiilla y León","No","No"
419,-4.672924,42.663374,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Santa María de la Vega","Ayto. de Buenavista de Valdavia","No","No"
420,-4.660727,42.663552,"A","3E","A","1",3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Rodiles","Ayto. de Buenavista de Valdavia","No","No"
422,-4.587543,42.66459,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Valdemoro","Ayto. de La Puebla de Valdavia","Sí","Sí"
423,-4.575345,42.664758,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Mayor","Ayto. de Buenavista de Valdavia","Sí","Sí"
426,-4.745852,42.65328,"A","3E",NA,NA,3403,"Saldaña-Valdavia","Pino del Río",34129,"","","Bascarrión","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No"
428,-4.660488,42.65455,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Santa María de la Vega","Ayto. de Buenavista de Valdavia","No","No"
429,-4.623901,42.655075,"A","4",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Rodiles","Ayto. de Buenavista de Valdavia","No","No"
430,-4.587314,42.655587,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Mayor","Ayto. de Buenavista de Valdavia","Sí","Sí"
432,-4.562922,42.655923,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Mayor","Ayto. de Buenavista de Valdavia","Sí","Sí"
434,-4.782178,42.643716,"A","3E","A","1",3403,"Saldaña-Valdavia","Pino del Río",34129,"","","Páramo del Este","E.L.M. de Pino del Rio","No","No"
435,-4.769986,42.643905,"A","1",NA,NA,3403,"Saldaña-Valdavia","Pino del Río",34129,"","","Páramo del Este","E.L.M. de Pino del Rio","No","No"
437,-4.7456,42.644279,"A","1",NA,NA,3403,"Saldaña-Valdavia","Pino del Río",34129,"","","Vallejas Traidoras","E.L.M. de Carbonera","No","No"
438,-4.733407,42.644464,"A","1",NA,NA,3403,"Saldaña-Valdavia","Ayuela",34020,"","","Bascarrión","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No"
440,-4.587085,42.646585,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Mayor","Ayto. de Buenavista de Valdavia","Sí","Sí"
442,-4.794112,42.634524,NA,NA,"A","1",3403,"Saldaña-Valdavia","Pino del Río",34129,"","","","","",""
443,-4.781921,42.634714,"A","1",NA,NA,3403,"Saldaña-Valdavia","Pino del Río",34129,"","","Páramo del Este","E.L.M. de Pino del Rio","No","No"
444,-4.733158,42.635463,"A","4","A","1",3403,"Saldaña-Valdavia","Saldaña",34157,"","","Páramo y Majada","E.L.M. de Carbonera","Sí","Sí"
445,-4.684392,42.63619,"A","4","A","1",3403,"Saldaña-Valdavia","Tabanera de Valdavia",34179,"","","Reznalillos","Ayto. de Tabanera de Valdavia","No","No"
446,-4.647817,42.636722,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Rodiles","Ayto. de Buenavista de Valdavia","No","No"
447,-4.562471,42.637919,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","El Cerrillo","E.L.M. de Polvorosa de Valdavia","Sí","Sí"
448,-4.550278,42.638084,"A","4","A","1",3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Comayancos","Ayto. de Revilla de Collazos","Sí","Sí"
449,-4.793853,42.625523,"A","4","A","1",3403,"Saldaña-Valdavia","Pino del Río",34129,"","","Majada y Valle de las Fuentes","E.L.M. de Celadilla del Rio","Sí","Sí"
450,-4.732908,42.626461,"A","1",NA,NA,3403,"Saldaña-Valdavia","Saldaña",34157,"","","Páramo y Majada","E.L.M. de Carbonera","Sí","Sí"
451,-4.720718,42.626645,"A","1",NA,NA,3403,"Saldaña-Valdavia","Ayuela",34020,"","","Bascarrión","Ayto. de Tabanera de Valdavia,Ayto. de Ayuela,E.L.M. de Villasur","No","No"
455,-4.562246,42.628916,"A","4","A","1",3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","El Cerrillo","E.L.M. de Polvorosa de Valdavia","Sí","Sí"
456,-4.550055,42.629082,"A","4","A","1",3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Alto y Agregados","Ayto. de Buenavista de Valdavia","Sí","Sí"
457,-4.757033,42.617089,NA,NA,NA,NA,3403,"Saldaña-Valdavia","Saldaña",34157,"","","","","",""
459,-4.635154,42.618893,"A","4","A","1",3403,"Saldaña-Valdavia","Valderrábano",34190,"","","","","",""
460,-4.57421,42.619747,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","El Cerrillo","E.L.M. de Polvorosa de Valdavia","Sí","Sí"
462,-4.549832,42.62008,"A","1",NA,NA,3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Montecillo, Páramo y Cuesta","E.L.M. de Arenillas de San Pelayo","Sí","Sí"
464,-4.842076,42.606747,"A","4C","A","4",3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","El Corco","C.A. de Castiilla y León","Sí","Sí"
466,-4.573983,42.610745,"A","4","A","1",3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Alto y Agregados","Ayto. de Buenavista de Valdavia","Sí","Sí"
467,-4.549608,42.611077,"A","1","A","4",3403,"Saldaña-Valdavia","Buenavista de Valdavia",34037,"","","Montecillo, Páramo y Cuesta","E.L.M. de Arenillas de San Pelayo","Sí","Sí"
469,-4.841811,42.597746,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villota del Páramo",34245,"","","El Corco","C.A. de Castiilla y León","Sí","Sí"
471,-4.780894,42.598709,"A","1",NA,NA,3403,"Saldaña-Valdavia","Pino del Río",34129,"","","Majada y Valle de las Fuentes","E.L.M. de Celadilla del Rio","Sí","Sí"
474,-4.537199,42.602239,"A","4","A","1",3403,"Saldaña-Valdavia","Villaeles de Valdavia",34208,"","","Bostal y Albarizas","Ayto. de Villaeles de Valdavia","Sí","Sí"
476,-4.744092,42.590271,"A","1","A","4",3403,"Saldaña-Valdavia","Saldaña",34157,"","","Páramo y Majada","E.L.M. de Carbonera","Sí","Sí"
477,-4.719727,42.590639,"A","1",NA,NA,3403,"Saldaña-Valdavia","Saldaña",34157,"","","","","",""
480,-4.549162,42.593073,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villaeles de Valdavia",34208,"","","Bostal y Albarizas","Ayto. de Villaeles de Valdavia","Sí","Sí"
481,-4.536978,42.593237,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villaeles de Valdavia",34208,"","","Bostal y Albarizas","Ayto. de Villaeles de Valdavia","Sí","Sí"
483,-4.548939,42.58407,"A","4",NA,NA,3403,"Saldaña-Valdavia","Villaeles de Valdavia",34208,"","","Bostal y Albarizas","Ayto. de Villaeles de Valdavia","Sí","Sí"
484,-4.536757,42.584234,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villaeles de Valdavia",34208,"","","Bostal y Albarizas","Ayto. de Villaeles de Valdavia","Sí","Sí"
485,-4.573077,42.574736,NA,NA,NA,NA,3403,"Saldaña-Valdavia","Villaeles de Valdavia",34208,"","","Bostal y Albarizas","Ayto. de Villaeles de Valdavia","Sí","Sí"
488,-4.524355,42.575395,"A","4","A","4",3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
489,-4.718985,42.563634,NA,NA,NA,NA,3403,"Saldaña-Valdavia","Saldaña",34157,"","","","","",""
491,-4.560672,42.5659,"A","4",NA,NA,3403,"Saldaña-Valdavia","Villaeles de Valdavia",34208,"","","Bostal y Albarizas","Ayto. de Villaeles de Valdavia","Sí","Sí"
492,-4.536315,42.56623,"A","4","A","1",3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
493,-4.524136,42.566392,"A","4",NA,NA,3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
496,-4.523917,42.55739,"A","4","A","1",3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
497,-4.742838,42.545263,"A","4","A","1",3403,"Saldaña-Valdavia","Saldaña",34157,"","","Valdemenoldo","Ayto. de Saldaña","No","No"
498,-4.730665,42.545448,"A","1",NA,NA,3403,"Saldaña-Valdavia","Saldaña",34157,"","","","","",""
500,-4.535873,42.548225,"A","4",NA,NA,3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
501,-4.523698,42.548387,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
503,-4.535652,42.539222,"A","4","A","4",3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
507,-4.851597,42.516541,"A","4",NA,NA,3403,"Saldaña-Valdavia","Santervás de la Vega",34169,"","","","","",""
509,-4.851331,42.50754,"A","4","A","1",3403,"Saldaña-Valdavia","Santervás de la Vega",34169,"","","","","",""
511,-4.705337,42.509806,NA,NA,NA,NA,3403,"Saldaña-Valdavia","Saldaña",34157,"","","Cuesta Cornon","E.L.M. de Relea de la Loma","No","No"
513,-4.607999,42.511213,"A","4","A","1",3403,"Saldaña-Valdavia","Saldaña",34157,"","","Paramillo y Monte de Arriba","E.L.M. de Vega de Doña Olimpa","Sí","Sí"
515,-4.58340482,42.51143902,NA,NA,"A","1",3402,"Campos","Loma de Ucieza",34903,"","","","","",""
517,-4.57127,42.502717,"A","1",NA,NA,3402,"Campos","Loma de Ucieza",34903,"","","Morcorio","E.L.M. de Villota del Duque","Sí","Sí"
518,-4.440955,42.657522,"A","1",NA,NA,3404,"Boedo-Ojeda","La Vid de Ojeda",34093,"","","Montecillo","Ayto. de La Vid de Ojeda","No","No"
520,-4.416561,42.657827,"A","4C","A","1",3404,"Boedo-Ojeda","La Vid de Ojeda",34093,"","","Montecillo","Ayto. de La Vid de Ojeda","No","No"
521,-4.501507,42.638734,"A","1",NA,NA,3404,"Boedo-Ojeda","Revilla de Collazos",34154,"","","La Cuesta","Ayto. de Revilla de Collazos","No","No"
523,-4.4647083,42.63931106,NA,NA,"A","1",3404,"Boedo-Ojeda","Dehesa de Romanos",34068,"","","Fuente Ortuño","Ayto. de Dehesa de Romanos","No","No"
524,-4.476907,42.630048,"A","3E","A","1",3404,"Boedo-Ojeda","Dehesa de Romanos",34068,"","","Fuente Ortuño","Ayto. de Dehesa de Romanos","No","No"
526,-4.464505,42.621202,NA,NA,NA,NA,3404,"Boedo-Ojeda","Collazos de Boedo",34061,"","","","","",""
531,-4.512392,42.584559,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villasila de Valdavia",34234,"","","Páramo y Majada","Ayto. de Villasila de Valdavia","Sí","Sí"
535,-4.475632,42.576033,"A","1",NA,NA,3404,"Boedo-Ojeda","Sotobañado y Priorato",34176,"","","Gallillo","Ayto. de Sotobañado y Priorato","Sí","Sí"
538,-4.414725,42.576801,"A","1",NA,NA,3404,"Boedo-Ojeda","Páramo de Boedo",34122,"","","Fuentepila","E.L.M. de Páramo de Boedo","Sí","Sí"
540,-4.475419,42.56703,"A","4","A","1",3403,"Saldaña-Valdavia","Villameriel",34222,"","","Corral y Agregados","E.L.M. de San Martin del Monte","Sí","Sí"
541,-4.46324,42.567186,"A","4","A","1",3404,"Boedo-Ojeda","Sotobañado y Priorato",34176,"","","Gallillo","Ayto. de Sotobañado y Priorato","Sí","Sí"
543,-4.426701,42.567647,"A","1",NA,NA,3404,"Boedo-Ojeda","Páramo de Boedo",34122,"","","Fuentepila","E.L.M. de Páramo de Boedo","Sí","Sí"
544,-4.402342,42.567948,"A","1",NA,NA,3404,"Boedo-Ojeda","Calahorra de Boedo",34041,"","","Mayor y Rebollo","Ayto. de Calahorra de Boedo","Sí","Sí"
545,-4.390162,42.568096,"A","4","A","1",3404,"Boedo-Ojeda","Calahorra de Boedo",34041,"","","Mayor y Rebollo","Ayto. de Calahorra de Boedo","Sí","Sí"
547,-4.51174,42.557551,"A","4","A","1",3403,"Saldaña-Valdavia","Villanuño de Valdavia",34228,"","","Arriba","E.L.M. de Arenillas de Nuño Perez","Sí","Sí"
548,-4.499562,42.557711,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villanuño de Valdavia",34228,"","","Arriba","E.L.M. de Arenillas de Nuño Perez","Sí","Sí"
550,-4.511522,42.548549,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villanuño de Valdavia",34228,"","","Arriba","E.L.M. de Arenillas de Nuño Perez","Sí","Sí"
552,-4.462819,42.549181,"A","4",NA,NA,3403,"Saldaña-Valdavia","Villameriel",34222,"","","El Monte","E.L.M. de Villameriel","Sí","Sí"
554,-4.511088,42.530543,"A","1",NA,NA,3403,"Saldaña-Valdavia","Villanuño de Valdavia",34228,"","","Arriba","Ayto. de Villanuño de Valdavia","Sí","Sí"
558,-4.498485,42.512698,NA,NA,"A","1",3403,"Saldaña-Valdavia","Villanuño de Valdavia",34228,"","","Arriba","Ayto. de Villanuño de Valdavia","Sí","Sí"
559,-4.486317,42.512856,"A","1","A","4",3402,"Campos","Bárcena de Campos",34025,"","","Duque","E.L.M. de Santa Cruz del Monte,Ayto. de Bárcena de Campos","Sí","Sí"
560,-4.474148,42.513014,"A","4C","A","1",3403,"Saldaña-Valdavia","Villameriel",34222,"","","Vallespinoso y Valdelaguna","E.L.M. de Villameriel","Sí","Sí"
562,-4.291605,42.515217,"A","4","A","1",3404,"Boedo-Ojeda","Herrera de Pisuerga",34083,"","","Las Corraleras","E.L.M. de Ventosa de Pisuerga","Sí","Sí"
563,-4.510437,42.503536,NA,NA,NA,NA,3403,"Saldaña-Valdavia","Villanuño de Valdavia",34228,"","","","","",""
564,-4.49827,42.503695,NA,NA,NA,NA,3403,"Saldaña-Valdavia","Villanuño de Valdavia",34228,"","","Arriba","Ayto. de Villanuño de Valdavia","Sí","Sí"
566,-4.874855,42.480141,"A","4",NA,NA,3403,"Saldaña-Valdavia","Santervás de la Vega",34169,"","","El Montón","E.L.M. de Villarrobejo","No","No"
567,-4.862695,42.480339,"A","1",NA,NA,3403,"Saldaña-Valdavia","Santervás de la Vega",34169,"","","El Montón","E.L.M. de Villarrobejo","No","No"
568,-4.874586,42.47114,"A","1",NA,NA,3403,"Saldaña-Valdavia","Santervás de la Vega",34169,"","","El Montón","E.L.M. de Villarrobejo","No","No"
569,-4.874317,42.462139,"A","4","A","1",3403,"Saldaña-Valdavia","Santervás de la Vega",34169,"","","El Montón","E.L.M. de Villarrobejo","No","No"
570,-4.862161,42.462337,NA,NA,NA,NA,3403,"Saldaña-Valdavia","Villarrabé",34231,"","","","","",""
571,-4.886203,42.452939,"A","4","A","1",3403,"Saldaña-Valdavia","Lagartos",34091,"","","Páramo Cierzo","E.L.M. de Villambran de Cea","Sí","Sí"
572,-4.874049,42.453138,"A","4",NA,NA,3403,"Saldaña-Valdavia","Villarrabé",34231,"","","Matajoara","C.A. de Castiilla y León","Sí","Sí"
573,-4.861894,42.453336,"A","1","A","1",3403,"Saldaña-Valdavia","Villarrabé",34231,"","","","","",""
