"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","DamageNFI2","DamageNFI2_EN"
22,42.857966,-4.898488,"A","4","A","1","M912","Moderate damage caused by fire"
23,42.848966,-4.898212,NA,NA,NA,NA,"M314","Moderate branch damage caused by fungi"
24,42.84937112,-4.88538975,"A","1","A","1","M314","Moderate branch damage caused by fungi"
25,42.849569,-4.861516,"A","1",NA,NA,"M912","Moderate damage caused by fire"
50,42.92601198,-4.56981941,NA,NA,"A","4","01","No damage observed"
51,42.917313,-4.54501,"A","4","A","1","01","No damage observed"
52,42.904935,-4.777437,"A","1","A","1","M204","Moderate leaf damage caused by insects"
53,42.905124,-4.765193,"A","1",NA,NA,"M912","Moderate damage caused by fire"
57,42.907978,-4.569276,"A","4C",NA,NA,"01","No damage observed"
58,42.896684,-4.72821,"A","1",NA,NA,"M204","Moderate leaf damage caused by insects"
59,42.896868,-4.715967,"A","3E",NA,NA,"P204","Minor leaf damage caused by insects"
60,42.89766952,-4.64260042,"A","1","A","1","01","No damage observed"
62,42.887497,-4.740199,"A","4","A","1","P204","Minor leaf damage caused by insects"
67,42.890308,-4.544335,"A","1",NA,NA,"01","No damage observed"
68,42.87624031,-4.85072573,NA,NA,"A","1","G912","Severe damage caused by fire"
70,42.878121,-4.764423,NA,NA,NA,NA,"01","No damage observed"
71,42.878309,-4.752185,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
73,42.878866,-4.715468,NA,NA,NA,NA,"01","No damage observed"
77,42.8678215,-4.8501191,NA,NA,"A","4C","G912","Severe damage caused by fire"
79,42.86912,-4.764167,"A","4","A","1","01","No damage observed"
80,42.869308,-4.75193,"A","4","A","1","",NA
81,42.869864,-4.715219,NA,NA,NA,NA,"01","No damage observed"
82,42.870047,-4.702981,"A","4","A","1","P907","Minor other damage caused by humans"
89,42.871971,-4.568364,"A","4","A","1","01","No damage observed"
91,42.872304,-4.543886,"A","1","A","1","01","No damage observed"
92,42.858965,-4.837318,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
93,42.860494,-4.73944,"A","1",NA,NA,"01","No damage observed"
95,42.860863,-4.714969,"A","4C","A","1","01","No damage observed"
96,42.861046,-4.702734,"A","4",NA,NA,"01","No damage observed"
100,42.86246,-4.604846,"A","4","A","4","01","No damage observed"
102,42.86262983,-4.56755122,"A","1","A","1","G914","Severe crown damage caused by wind"
103,42.863136,-4.555899,"A","3E","A","1","01","No damage observed"
104,42.863302,-4.543662,"A","4","A","1","01","No damage observed"
105,42.849767,-4.849284,"A","1",NA,NA,"01","No damage observed"
106,42.849964,-4.837051,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
107,42.851306,-4.751421,"A","1",NA,NA,"01","No damage observed"
108,42.852406,-4.678019,"A","1","A","1","01","No damage observed"
112,42.834223,-4.689762,"A","1",NA,NA,"01","No damage observed"
128,42.94497,-4.496672,"A","4","A","1","01","No damage observed"
129,42.94513,-4.484419,"A","1",NA,NA,"G302","Severe branch damage caused by fungi"
144,42.918438,-4.459274,"A","1",NA,NA,"M111","Moderate bark damage from unknown causes"
145,42.918594,-4.447025,"A","1",NA,NA,"01","No damage observed"
146,42.918901,-4.422528,"A","4","A","1","G912","Severe damage caused by fire"
147,42.919053,-4.410279,"A","4","A","1","01","No damage observed"
152,42.908962,-4.4958,"A","1",NA,NA,"01","No damage observed"
157,42.911631,-4.275352,"A","4","A","4","P412","Minor trunk damage caused by fire"
159,42.899799,-4.507827,"A","1",NA,NA,"01","No damage observed"
163,42.890797,-4.507608,"A","4C",NA,NA,"01","No damage observed"
166,42.893625,-4.27498,"A","1",NA,NA,"01","No damage observed"
169,42.882273,-4.470666,NA,NA,NA,NA,"01","No damage observed"
170,42.885025,-4.238067,"A","3E","A","1","01","No damage observed"
177,42.875619,-4.27461,"A","4",NA,NA,"01","No damage observed"
179,42.876022,-4.237887,"A","1",NA,NA,"01","No damage observed"
182,42.86718041,-4.22554958,NA,NA,"A","1","01","No damage observed"
183,42.854627,-4.518967,"A","4",NA,NA,"01","No damage observed"
189,42.847769,-4.347466,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
191,42.83818,-4.396202,"A","3E",NA,NA,"01","No damage observed"
192,42.839607,-4.273869,"A","1",NA,NA,"01","No damage observed"
195,42.81307064,-4.89692111,NA,NA,"A","1","G912","Severe damage caused by fire"
196,42.813167,-4.884886,"A","3E","A","1","M714","Moderate terminal leader damage caused by wind"
197,42.795166,-4.884339,"A","4","A","1","M912","Moderate damage caused by fire"
199,42.777565,-4.859357,"A","3E","A","6C","",NA
201,42.759364,-4.871033,"A","4",NA,NA,"01","No damage observed"
202,42.750164,-4.882975,"A","1",NA,NA,"P313","Minor branch damage caused by snow"
204,42.740962,-4.894913,"A","3E","A","1","01","No damage observed"
206,42.741363,-4.870492,"A","1",NA,NA,"01","No damage observed"
207,42.731961,-4.894639,"A","1",NA,NA,"01","No damage observed"
208,42.732163,-4.88243,"A","1",NA,NA,"01","No damage observed"
209,42.723162,-4.882158,"A","1",NA,NA,"01","No damage observed"
210,42.714161,-4.881886,"A","1",NA,NA,"P313","Minor branch damage caused by snow"
214,42.69636,-4.86914,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
216,42.68716,-4.88107,"A","1",NA,NA,"M814","Moderate crown damage caused by wind"
218,42.687558,-4.856669,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
220,42.668957,-4.892724,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
223,42.79596,-4.835453,NA,NA,NA,NA,"P204","Minor leaf damage caused by insects"
224,42.796734,-4.786564,"A","1",NA,NA,"01","No damage observed"
231,42.772443,-4.602519,"A","4",NA,NA,"01","No damage observed"
233,42.77362686,-4.54141932,NA,NA,"A","1","01","No damage observed"
235,42.761666,-4.724451,"A","1",NA,NA,"01","No damage observed"
238,42.763948,-4.565635,"A","4",NA,NA,"01","No damage observed"
239,42.764114,-4.553418,"A","4C","A","4","01","No damage observed"
240,42.76428,-4.5412,"A","4C",NA,NA,"01","No damage observed"
243,42.754268,-4.61427,"A","1",NA,NA,"01","No damage observed"
244,42.754439,-4.602055,"A","3E",NA,NA,"P204","Minor leaf damage caused by insects"
246,42.754778,-4.577624,"A","4","A","1","P204","Minor leaf damage caused by insects"
247,42.754946,-4.565409,"A","4C","A","1","01","No damage observed"
248,42.755112,-4.553193,"A","4C","A","4","01","No damage observed"
249,42.755277,-4.540977,"A","4C","A","4","P204","Minor leaf damage caused by insects"
251,42.742728,-4.785012,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
253,42.744209,-4.687314,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
254,42.745437,-4.601823,"A","4","A","1","P204","Minor leaf damage caused by insects"
256,42.745944,-4.565182,"A","4C",NA,NA,"01","No damage observed"
258,42.733536,-4.796964,"A","4","A","1","P204","Minor leaf damage caused by insects"
261,42.736774,-4.577167,"A","4C","A","1","01","No damage observed"
262,42.736942,-4.564956,"A","4C","A","1","01","No damage observed"
263,42.72484493,-4.78452548,NA,NA,"A","1","01","No damage observed"
264,42.724915,-4.772288,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
265,42.727772,-4.576939,"A","1",NA,NA,"P314","Minor branch damage caused by wind"
268,42.716103,-4.759825,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
269,42.71877,-4.576711,"A","4",NA,NA,"01","No damage observed"
270,42.718938,-4.564503,"A","1",NA,NA,"01","No damage observed"
271,42.705953,-4.832798,"A","3E","A","1","P208","Minor leaf damage caused by livestock"
272,42.706913,-4.771775,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
274,42.707288,-4.747365,"A","3E","A","1","P204","Minor leaf damage caused by insects"
276,42.709258,-4.613103,"A","4C",NA,NA,"M912","Moderate damage caused by fire"
279,42.6981,-4.759316,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
284,42.689286,-4.74686,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
285,42.689471,-4.734659,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
286,42.689655,-4.722457,"A","4","A","1","P204","Minor leaf damage caused by insects"
288,42.690557,-4.661447,"A","1",NA,NA,"G912","Severe damage caused by fire"
289,42.690908,-4.637042,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
291,42.69218251,-4.53947652,NA,NA,"A","1","P204","Minor leaf damage caused by insects"
292,42.680098,-4.758808,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
294,42.68047,-4.734408,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
296,42.680837,-4.710008,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
299,42.670529,-4.795147,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
300,42.670719,-4.78295,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
302,42.671283,-4.746356,"A","3E",NA,NA,"P204","Minor leaf damage caused by insects"
304,42.671652,-4.72196,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
305,42.67186295,-4.70984871,NA,NA,"A","1","01","No damage observed"
306,42.672197,-4.685364,"A","3E","A","1","P204","Minor leaf damage caused by insects"
311,42.67376,-4.575573,"A","4",NA,NA,"P204","Minor leaf damage caused by insects"
313,42.818619,-4.518085,"A","4C","A","1","01","No damage observed"
319,42.794038,-4.321844,"A","1",NA,NA,"01","No damage observed"
320,42.794317,-4.297395,"A","1",NA,NA,"01","No damage observed"
321,42.78261,-4.517205,"A","1",NA,NA,"M412","Moderate trunk damage caused by fire"
325,42.764606,-4.516765,"A","4C","A","1","01","No damage observed"
326,42.764927,-4.49233,"A","3E",NA,NA,"01","No damage observed"
327,42.765243,-4.467894,"A","1","A","1","01","No damage observed"
330,42.755765,-4.50433,"A","1",NA,NA,"01","No damage observed"
332,42.756083,-4.479897,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
333,42.757305,-4.382164,"A","4C","A","1","",NA
335,42.746601,-4.516326,"A","1",NA,NA,"M412","Moderate trunk damage caused by fire"
336,42.746922,-4.491898,"A","4",NA,NA,"01","No damage observed"
339,42.748302,-4.381964,"A","1",NA,NA,"01","No damage observed"
341,42.749845,-4.247591,"A","1",NA,NA,"01","No damage observed"
342,42.739002,-4.406191,"A","4C","A","1","01","No damage observed"
343,42.739151,-4.393978,"A","4",NA,NA,"M204","Moderate leaf damage caused by insects"
344,42.740299,-4.296268,"A","4","A","1","P204","Minor leaf damage caused by insects"
346,42.741235,-4.210767,"A","4",NA,NA,"01","No damage observed"
351,42.711994,-4.405581,NA,NA,NA,NA,"P404","Minor trunk damage caused by machinery"
353,42.713698,-4.259079,"A","1",NA,NA,"01","No damage observed"
355,42.702991,-4.405378,"A","4C","A","1","01","No damage observed"
356,42.704489,-4.28330905,NA,NA,"A","4","01","No damage observed"
357,42.70456,-4.271104,"A","1",NA,NA,"01","No damage observed"
358,42.704828,-4.246689,NA,NA,NA,NA,"01","No damage observed"
359,42.695004,-4.319741,"A","1","A","4","01","No damage observed"
361,42.683746,-4.50259,"A","1",NA,NA,"01","No damage observed"
362,42.685574,-4.35616,NA,NA,NA,NA,"P204","Minor leaf damage caused by insects"
364,42.68586,-4.331754,"A","4","A","1","01","No damage observed"
366,42.68628,-4.295144,"A","4",NA,NA,"P204","Minor leaf damage caused by insects"
369,42.677277,-4.294957,"A","4","A","1","P204","Minor leaf damage caused by insects"
381,42.659957,-4.892451,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
383,42.650956,-4.892178,"A","4",NA,NA,"P204","Minor leaf damage caused by insects"
385,42.641955,-4.891905,"A","1","A","4","P204","Minor leaf damage caused by insects"
387,42.642356,-4.867522,"A","1",NA,NA,"P202","Minor leaf damage from unknown causes"
388,42.632955,-4.891632,"A","1","A","4","01","No damage observed"
389,42.633156,-4.879442,"A","1",NA,NA,"M202","Moderate leaf damage from unknown causes"
391,42.633553,-4.855063,NA,NA,"A","1","G412","Severe trunk damage caused by fire"
392,42.6236709,-4.89115871,NA,NA,"A","1","G412","Severe trunk damage caused by fire"
393,42.624155,-4.879171,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
394,42.624354,-4.866984,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
395,42.614953,-4.891087,"A","1",NA,NA,"P202","Minor leaf damage from unknown causes"
397,42.615353,-4.866715,NA,NA,NA,NA,"P204","Minor leaf damage caused by insects"
399,42.605953,-4.890814,"A","1",NA,NA,"M202","Moderate leaf damage from unknown causes"
400,42.606153,-4.87863,"A","4","A","1","M402","Moderate trunk damage from unknown causes"
401,42.60655,-4.854261,"A","1",NA,NA,"P202","Minor leaf damage from unknown causes"
406,42.578951,-4.889998,"A","1",NA,NA,"P202","Minor leaf damage from unknown causes"
409,42.543148,-4.876739,"A","4","A","1","P202","Minor leaf damage from unknown causes"
410,42.543346,-4.864567,"A","4","A","1","M413","Moderate trunk damage caused by snow"
413,42.524946,-4.888369,"A","1",NA,NA,"01","No damage observed"
414,42.525344,-4.864031,"A","1",NA,NA,"P402","Minor trunk damage from unknown causes"
415,42.515945,-4.888098,"A","1",NA,NA,"01","No damage observed"
417,42.507342,-4.863496,"A","4","A","1","P402","Minor trunk damage from unknown causes"
419,42.663374,-4.672924,"A","1",NA,NA,"01","No damage observed"
420,42.663552,-4.660727,"A","3E","A","1","01","No damage observed"
422,42.66459,-4.587543,"A","1",NA,NA,"01","No damage observed"
423,42.664758,-4.575345,"A","1",NA,NA,"01","No damage observed"
426,42.65328,-4.745852,"A","3E",NA,NA,"01","No damage observed"
