"Estadillo","lat","lng","ClaIFN3","SubclaseIFN3","ClaIFN4","SubclaseIFN4","DamageNFI2","DamageNFI2_EN"
428,42.65455,-4.660488,"A","1",NA,NA,"01","No damage observed"
429,42.655075,-4.623901,"A","4",NA,NA,"01","No damage observed"
430,42.655587,-4.587314,"A","1",NA,NA,"01","No damage observed"
432,42.655923,-4.562922,"A","1",NA,NA,"01","No damage observed"
434,42.643716,-4.782178,"A","3E","A","1","",NA
435,42.643905,-4.769986,"A","1",NA,NA,"01","No damage observed"
437,42.644279,-4.7456,"A","1",NA,NA,"01","No damage observed"
438,42.644464,-4.733407,"A","1",NA,NA,"01","No damage observed"
440,42.646585,-4.587085,"A","1",NA,NA,"01","No damage observed"
442,42.634524,-4.794112,NA,NA,"A","1","01","No damage observed"
443,42.634714,-4.781921,"A","1",NA,NA,"01","No damage observed"
444,42.635463,-4.733158,"A","4","A","1","01","No damage observed"
445,42.63619,-4.684392,"A","4","A","1","01","No damage observed"
446,42.636722,-4.647817,"A","1",NA,NA,"01","No damage observed"
447,42.637919,-4.562471,"A","1",NA,NA,"01","No damage observed"
448,42.638084,-4.550278,"A","4","A","1","P402","Minor trunk damage from unknown causes"
449,42.625523,-4.793853,"A","4","A","1","P202","Minor leaf damage from unknown causes"
450,42.626461,-4.732908,"A","1",NA,NA,"01","No damage observed"
451,42.626645,-4.720718,"A","1",NA,NA,"01","No damage observed"
455,42.628916,-4.562246,"A","4","A","1","P204","Minor leaf damage caused by insects"
456,42.629082,-4.550055,"A","4","A","1","01","No damage observed"
457,42.617089,-4.757033,NA,NA,NA,NA,"01","No damage observed"
459,42.618893,-4.635154,"A","4","A","1","01","No damage observed"
460,42.619747,-4.57421,"A","1",NA,NA,"01","No damage observed"
462,42.62008,-4.549832,"A","1",NA,NA,"01","No damage observed"
464,42.606747,-4.842076,"A","4C","A","4","01","No damage observed"
466,42.610745,-4.573983,"A","4","A","1","01","No damage observed"
467,42.611077,-4.549608,"A","1","A","4","01","No damage observed"
469,42.597746,-4.841811,"A","1",NA,NA,"01","No damage observed"
471,42.598709,-4.780894,"A","1",NA,NA,"01","No damage observed"
474,42.602239,-4.537199,"A","4","A","1","01","No damage observed"
476,42.590271,-4.744092,"A","1","A","4","01","No damage observed"
477,42.590639,-4.719727,"A","1",NA,NA,"01","No damage observed"
480,42.593073,-4.549162,"A","1",NA,NA,"01","No damage observed"
481,42.593237,-4.536978,"A","1",NA,NA,"01","No damage observed"
483,42.58407,-4.548939,"A","4",NA,NA,"01","No damage observed"
484,42.584234,-4.536757,"A","1",NA,NA,"01","No damage observed"
485,42.574736,-4.573077,NA,NA,NA,NA,"01","No damage observed"
488,42.575395,-4.524355,"A","4","A","4","01","No damage observed"
489,42.563634,-4.718985,NA,NA,NA,NA,"P402","Minor trunk damage from unknown causes"
491,42.5659,-4.560672,"A","4",NA,NA,"01","No damage observed"
492,42.56623,-4.536315,"A","4","A","1","01","No damage observed"
493,42.566392,-4.524136,"A","4",NA,NA,"01","No damage observed"
496,42.55739,-4.523917,"A","4","A","1","P202","Minor leaf damage from unknown causes"
497,42.545263,-4.742838,"A","4","A","1","01","No damage observed"
498,42.545448,-4.730665,"A","1",NA,NA,"01","No damage observed"
500,42.548225,-4.535873,"A","4",NA,NA,"P702","Minor terminal leader damage from unknown causes"
501,42.548387,-4.523698,"A","1",NA,NA,"01","No damage observed"
503,42.539222,-4.535652,"A","4","A","4","P204","Minor leaf damage caused by insects"
507,42.516541,-4.851597,"A","4",NA,NA,"P702","Minor terminal leader damage from unknown causes"
509,42.50754,-4.851331,"A","4","A","1","P202","Minor leaf damage from unknown causes"
511,42.509806,-4.705337,NA,NA,NA,NA,"P202","Minor leaf damage from unknown causes"
513,42.511213,-4.607999,"A","4","A","1","01","No damage observed"
515,42.51143902,-4.58340482,NA,NA,"A","1","M412","Moderate trunk damage caused by fire"
517,42.502717,-4.57127,"A","1",NA,NA,"P202","Minor leaf damage from unknown causes"
518,42.657522,-4.440955,"A","1",NA,NA,"01","No damage observed"
520,42.657827,-4.416561,"A","4C","A","1","01","No damage observed"
521,42.638734,-4.501507,"A","1",NA,NA,"01","No damage observed"
523,42.63931106,-4.4647083,NA,NA,"A","1","01","No damage observed"
524,42.630048,-4.476907,"A","3E","A","1","01","No damage observed"
526,42.621202,-4.464505,NA,NA,NA,NA,"01","No damage observed"
531,42.584559,-4.512392,"A","1",NA,NA,"01","No damage observed"
535,42.576033,-4.475632,"A","1",NA,NA,"P112","Minor leaf damage caused by fire"
538,42.576801,-4.414725,"A","1",NA,NA,"01","No damage observed"
540,42.56703,-4.475419,"A","4","A","1","01","No damage observed"
541,42.567186,-4.46324,"A","4","A","1","01","No damage observed"
543,42.567647,-4.426701,"A","1",NA,NA,"01","No damage observed"
544,42.567948,-4.402342,"A","1",NA,NA,"01","No damage observed"
545,42.568096,-4.390162,"A","4","A","1","01","No damage observed"
547,42.557551,-4.51174,"A","4","A","1","01","No damage observed"
548,42.557711,-4.499562,"A","1",NA,NA,"01","No damage observed"
550,42.548549,-4.511522,"A","1",NA,NA,"01","No damage observed"
552,42.549181,-4.462819,"A","4",NA,NA,"01","No damage observed"
554,42.530543,-4.511088,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
558,42.512698,-4.498485,NA,NA,"A","1","01","No damage observed"
559,42.512856,-4.486317,"A","1","A","4","01","No damage observed"
560,42.513014,-4.474148,"A","4C","A","1","P204","Minor leaf damage caused by insects"
562,42.515217,-4.291605,"A","4","A","1","01","No damage observed"
563,42.503536,-4.510437,NA,NA,NA,NA,"01","No damage observed"
564,42.503695,-4.49827,NA,NA,NA,NA,"01","No damage observed"
566,42.480141,-4.874855,"A","4",NA,NA,"P204","Minor leaf damage caused by insects"
567,42.480339,-4.862695,"A","1",NA,NA,"P204","Minor leaf damage caused by insects"
568,42.47114,-4.874586,"A","1",NA,NA,"01","No damage observed"
569,42.462139,-4.874317,"A","4","A","1","P204","Minor leaf damage caused by insects"
570,42.462337,-4.862161,NA,NA,NA,NA,"01","No damage observed"
571,42.452939,-4.886203,"A","4","A","1","01","No damage observed"
572,42.453138,-4.874049,"A","4",NA,NA,"01","No damage observed"
573,42.453336,-4.861894,"A","1","A","1","01","No damage observed"
574,42.44449007,-4.86148878,NA,NA,"A","1","01","No damage observed"
575,42.435136,-4.873512,"A","1","A","1","01","No damage observed"
577,42.408133,-4.872708,"A","1","A","1","P204","Minor leaf damage caused by insects"
579,42.398732,-4.896729,"A","4",NA,NA,"01","No damage observed"
580,42.381129,-4.871905,"A","1","A","4","01","No damage observed"
582,42.489538,-4.8508,"A","4",NA,NA,"M402","Moderate trunk damage from unknown causes"
584,42.493881,-4.55888,NA,NA,NA,NA,"M204","Moderate leaf damage caused by insects"
585,42.480536,-4.850534,"A","1",NA,NA,"M702","Moderate terminal leader damage from unknown causes"
586,42.484713,-4.570819,"A","1","A","1","01","No damage observed"
587,42.484879,-4.558656,"A","1",NA,NA,"M204","Moderate leaf damage caused by insects"
588,42.471535,-4.850269,"A","4",NA,NA,"P204","Minor leaf damage caused by insects"
591,42.462924,-4.82569,"A","1",NA,NA,"01","No damage observed"
592,42.453533,-4.849739,"A","4","A","1","01","No damage observed"
594,42.444532,-4.849474,"A","4",NA,NA,"P104","Minor leaf damage from unknown causes"
598,42.399526,-4.848151,"A","4",NA,NA,"01","No damage observed"
604,42.363521,-4.847095,"A","4",NA,NA,"01","No damage observed"
605,42.363716,-4.834958,"A","4",NA,NA,"01","No damage observed"
608,42.354714,-4.834696,"A","1",NA,NA,"01","No damage observed"
611,42.345906,-4.822299,"A","1","A","1","01","No damage observed"
613,42.495924,-4.400731,NA,NA,NA,NA,"01","No damage observed"
616,42.486005,-4.473514,"A","1","A","4","01","No damage observed"
621,42.468765,-4.412289,"A","1",NA,NA,"01","No damage observed"
624,42.460779,-4.326973,"A","1",NA,NA,"01","No damage observed"
625,42.460919,-4.314813,"A","4","A","1","P104","Minor leaf damage from unknown causes"
628,42.451634,-4.33894,"A","4","A","1","01","No damage observed"
629,42.451776,-4.326783,"A","1","A","1","01","No damage observed"
630,42.442772,-4.326593,"A","4C",NA,NA,"01","No damage observed"
1014,42.91377468,-4.79002978,NA,NA,"A","4",NA,NA
1015,42.916811,-4.581752,"N","N","A","4",NA,NA
1016,42.904163,-4.826411,"N","N","A","1",NA,NA
1017,42.908476,-4.532539,"N","N",NA,NA,NA,NA
1018,42.895743,-4.789421,"N","N","A","1",NA,NA
1019,42.898467,-4.605779,"N","N",NA,NA,NA,NA
1021,42.877741,-4.7889,"N","N","A","1",NA,NA
1022,42.880635,-4.593072,"N","N","A","1",NA,NA
1024,42.86877037,-4.78872838,NA,NA,"A","4C",NA,NA
1025,42.850354,-4.812586,"N","N","A","1",NA,NA
1026,42.850739,-4.78812,"N","N",NA,NA,NA,NA
1027,42.841929,-4.775629,"N","N","A","1",NA,NA
1031,42.836296,-4.542989,"N","N","A","1",NA,NA
1036,42.95491,-4.423357,"N","N",NA,NA,NA,NA
1037,42.945445,-4.459911,"N","N","A","1",NA,NA
1038,42.936286,-4.471951,"N","N",NA,NA,NA,NA
1039,42.926805,-4.508486,"N","N","A","1",NA,NA
1040,42.927126,-4.483986,"N","N","A","1",NA,NA
1041,42.928205,-4.398234,"N","N","A","1",NA,NA
1042,42.917641,-4.520514,"N","N","A","1",NA,NA
1048,42.902352,-4.299658,"N","N","A","1",NA,NA
1050,42.882115,-4.482907,"N","N",NA,NA,NA,NA
1051,42.874921,-4.335813,"N","N","A","4",NA,NA
1053,42.865188,-4.396811,"N","N","A","1",NA,NA
1054,42.857058,-4.323188,"N","N",NA,NA,NA,NA
1055,42.846106,-4.482045,"N","N","A","1",NA,NA
1057,42.836785,-4.506294,"N","N","A","1",NA,NA
1058,42.839332,-4.298336,"N","N",NA,NA,NA,NA
1059,42.840654,-4.175996,"N","N","A","1",NA,NA
1060,42.841025,-4.139293,"N","N","A","1",NA,NA
1061,42.822567,-4.860706,"N","N",NA,NA,NA,NA
1062,42.804566,-4.860166,"N","N",NA,NA,NA,NA
1064,42.74935,-4.931824,"N","N",NA,NA,NA,NA
1065,42.832737,-4.787601,"N","N","A","4",NA,NA
1066,42.82449,-4.73843,"N","N",NA,NA,NA,NA
1067,42.825041,-4.701745,"N","N",NA,NA,NA,NA
1068,42.813962,-4.835985,"N","N","A","4",NA,NA
1070,42.814926,-4.774856,"N","N","A","1",NA,NA
1072,42.805156,-4.823495,"N","N","A","1",NA,NA
1073,42.806301,-4.75015,"N","N","A","1",NA,NA
1074,42.807577,-4.664576,"N","N",NA,NA,NA,NA
1076,42.789036,-4.700758,"N","N","A","1",NA,NA
1077,42.790102,-4.627428,"N","N",NA,NA,NA,NA
1079,42.778922,-4.773827,"N","N",NA,NA,NA,NA
1081,42.770297,-4.749136,"N","N",NA,NA,NA,NA
1083,42.763611,-4.59007,"N","N","A","1",NA,NA
1084,42.753211,-4.687559,"N","N","A","1",NA,NA
1085,42.74176,-4.846069,"N","N",NA,NA,NA,NA
1086,42.745093,-4.62625,"N","N","A","1",NA,NA
1087,42.735387,-4.674859,"N","N",NA,NA,NA,NA
1088,42.726026,-4.699035,"N","N",NA,NA,NA,NA
1089,42.715148,-4.820857,"N","N",NA,NA,NA,NA
1090,42.717205,-4.686582,"N","N",NA,NA,NA,NA
1091,42.70856,-4.661927,"N","N","A","1",NA,NA
1093,42.699735,-4.649483,"N","N",NA,NA,NA,NA
1098,42.829326,-4.383768,"N","N",NA,NA,NA,NA
1099,42.82135558,-4.29804241,NA,NA,"A","4C",NA,NA
1100,42.810566,-4.444504,"N","N","A","1",NA,NA
1101,42.811321,-4.383367,"N","N","A","1",NA,NA
1105,42.784015,-4.40721,"N","N","A","1",NA,NA
1110,42.738078,-4.479469,"N","N",NA,NA,NA,NA
1112,42.7229867,-4.23492091,NA,NA,"A","1",NA,NA
1113,42.723228,-4.210417,"N","N","A","1",NA,NA
1117,42.692908,-4.490604,"N","N","A","1",NA,NA
1120,42.813769,-4.163255,"N","N",NA,NA,NA,NA
1121,42.805487,-4.089721,"N","N",NA,NA,NA,NA
1122,42.787125,-4.126078,"N","N","A","1",NA,NA
1123,42.75063966,-4.17437398,NA,NA,"A","1",NA,NA
1126,42.656416,-4.526333,"N","N","A","1",NA,NA
1127,42.647251,-4.538308,"N","N","A","1",NA,NA
1130,42.61142266,-4.52531823,NA,NA,"A","1",NA,NA
1132,42.591182,-4.683179,"N","N",NA,NA,NA,NA
1133,42.59190542,-4.63453351,NA,NA,"A","1",NA,NA
1134,42.580707,-4.780382,"N","N","A","1",NA,NA
1135,42.573534,-4.658336,"N","N",NA,NA,NA,NA
1137,42.563266,-4.743339,"N","N","A","1",NA,NA
1138,42.554815,-4.706563,"N","N",NA,NA,NA,NA
1139,42.546528,-4.657621,"N","N",NA,NA,NA,NA
1140,42.536811,-4.706072,"N","N","A","1",NA,NA
1141,42.53839,-4.596519,"N","N","A","1",NA,NA
1142,42.528347,-4.669316,"N","N","A","1",NA,NA
1143,42.529046,-4.620632,"N","N",NA,NA,NA,NA
1146,42.666215,-4.465561,"N","N","A","1",NA,NA
1148,42.650267,-4.294396,"N","N",NA,NA,NA,NA
1154,42.540333,-4.450435,"N","N",NA,NA,NA,NA
1156,42.531635,-4.425881,"N","N",NA,NA,NA,NA
1157,42.533086,-4.30415,"N","N",NA,NA,NA,NA
1158,42.523803,-4.328306,"N","N","A","1",NA,NA
1160,42.51363,-4.425472,"N","N","A","1",NA,NA
1161,42.504475,-4.437435,"N","N","A","1",NA,NA
1162,42.505796,-4.327925,"N","N",NA,NA,NA,NA
1164,42.479941,-4.887014,"N","N","A","1",NA,NA
1166,42.390328,-4.86003,"N","N","A","1",NA,NA
1167,42.466874,-4.558209,"N","N","A","1",NA,NA
1176,42.49721,-4.291234,"N","N",NA,NA,NA,NA
1177,42.486921,-4.40053,"N","N","A","1",NA,NA
1178,42.479203,-4.290864,"N","N",NA,NA,NA,NA
1300,42.75858398,-4.91997952,NA,NA,"N","N",NA,NA
1301,42.71438943,-4.86976921,NA,NA,"N","N",NA,NA
1303,42.86819079,-4.82543789,NA,NA,"N","N",NA,NA
1304,42.85018931,-4.82490751,NA,NA,"N","N",NA,NA
1307,42.86896095,-4.77649164,NA,NA,"N","N",NA,NA
1310,42.72550467,-4.73574954,NA,NA,"N","N",NA,NA
1312,42.8518917,-4.71480775,NA,NA,"N","N",NA,NA
1315,42.8891492,-4.6301157,NA,NA,"N","N",NA,NA
1318,42.91650037,-4.60633315,NA,NA,"N","N",NA,NA
1319,42.94384682,-4.58252977,NA,NA,"N","N",NA,NA
1325,42.91750815,-4.53284757,NA,NA,"N","N",NA,NA
1326,42.80048097,-4.52995489,NA,NA,"N","N",NA,NA
1329,42.73761863,-4.51619173,NA,NA,"N","N",NA,NA
1331,42.92699649,-4.49632126,NA,NA,"N","N",NA,NA
1332,42.5578875,-4.48746939,NA,NA,"N","N",NA,NA
1339,42.96379041,-4.43589464,NA,NA,"N","N",NA,NA
1348,42.78462548,-4.35840368,NA,NA,"N","N",NA,NA
1354,42.83922226,-4.31065297,NA,NA,"N","N",NA,NA
1370,42.74099354,-4.23527826,NA,NA,"N","N",NA,NA
1372,42.72311773,-4.22270976,NA,NA,"N","N",NA,NA
